CustomerID,Name,Address,Email
1,John Doe,123 Elm St,johndoe@example.com
2,Jane Smith,456 Oak St,janesmith@example.com
3,Bob Johnson,789 Pine St,bobjohnson@example.com
4,Emily Davis,321 Maple St,emilydavis@example.com
5,Michael Brown,654 Willow St,michaelbrown@example.com
6,Lisa White,987 Cedar St,lisawhite@example.com
7,John Doe,123 Elm St,johndoe@example.com
8,Mary Taylor,321 Oak St,marytaylor@example.com
9,Chris Lee,789 Maple St,chrislee@example.com
10,Anna Scott,987 Pine St,annascott@example.com
11,Peter Wilson,321 Cedar St,peterwilson@example.com
12,,123 Elm St,johndoe@example.com
13,John Doe,123 Elm St,johndoe@example.com
14,Emily Davis,,emilydavis@example.com
15,Mary Taylor,321 Oak St,
16,George Hill,456 Cedar St,georgehill@example.com
17,Bob Johnson,789 Pine St,bobjohnson@example.com
18,Jane Smith,456 Oak St,janesmith@example.com
19,John Doe,123 Elm St,johndoe@example.com
20,Sarah Young,654 Maple St,sarahyoung@example.com
21,Chris Lee,789 Maple St,chrislee@example.com
22,David Wright,987 Oak St,davidwright@example.com
23,Emily Davis,321 Maple St,emilydavis@example.com
24,Lisa White,987 Cedar St,lisawhite@example.com
25,Peter Wilson,321 Cedar St,peterwilson@example.com
26,Bob Johnson,789 Pine St,bobjohnson@example.com
27,Michael Brown,654 Willow St,michaelbrown@example.com
28,Mary Taylor,321 Oak St,marytaylor@example.com
29,George Hill,456 Cedar St,georgehill@example.com
30,Sarah Young,654 Maple St,sarahyoung@example.com
31,Anna Scott,987 Pine St,annascott@example.com
32,David Wright,987 Oak St,davidwright@example.com
33,Chris Lee,789 Maple St,chrislee@example.com
34,Lisa White,987 Cedar St,lisawhite@example.com
35,Emily Davis,321 Maple St,emilydavis@example.com
36,John Doe,123 Elm St,johndoe@example.com
37,Michael Brown,654 Willow St,michaelbrown@example.com
38,Anna Scott,987 Pine St,annascott@example.com
39,George Hill,456 Cedar St,georgehill@example.com
40,Bob Johnson,789 Pine St,bobjohnson@example.com
41,Jane Smith,456 Oak St,janesmith@example.com
42,Mary Taylor,321 Oak St,marytaylor@example.com
43,Chris Lee,789 Maple St,chrislee@example.com
44,Peter Wilson,321 Cedar St,peterwilson@example.com
45,David Wright,987 Oak St,davidwright@example.com
46,Emily Davis,321 Maple St,emilydavis@example.com
47,John Doe,123 Elm St,johndoe@example.com
48,Lisa White,987 Cedar St,lisawhite@example.com
49,Michael Brown,654 Willow St,michaelbrown@example.com
50,Anna Scott,987 Pine St,annascott@example.com
